Date,Value
2012-09-12 00:00:00-04:00,109.8870143179274
2012-09-13 00:00:00-04:00,111.03188363131395
2012-09-14 00:00:00-04:00,111.25681946159432
2012-09-17 00:00:00-04:00,110.72408471199057
2012-09-18 00:00:00-04:00,110.54897722020853
2012-09-19 00:00:00-04:00,110.54803844597336
2012-09-20 00:00:00-04:00,110.20239074254353
2012-09-21 00:00:00-04:00,110.36078825556906
2012-09-24 00:00:00-04:00,110.23075742632506
2012-09-25 00:00:00-04:00,109.55114476573678
2012-09-26 00:00:00-04:00,109.22993726180023
2012-09-27 00:00:00-04:00,110.05492742212571
2012-09-28 00:00:00-04:00,109.57324499240066
2012-10-01 00:00:00-04:00,109.77950488035842
2012-10-02 00:00:00-04:00,109.92424139419023
2012-10-03 00:00:00-04:00,109.74649755296886
2012-10-04 00:00:00-04:00,110.0700585620354
2012-10-05 00:00:00-04:00,109.85380038580816
2012-10-08 00:00:00-04:00,109.6757173349166
2012-10-09 00:00:00-04:00,109.10155564642533
2012-10-10 00:00:00-04:00,109.09966395356255
2012-10-11 00:00:00-04:00,109.5431144789025
2012-10-12 00:00:00-04:00,109.34909424191137
2012-10-15 00:00:00-04:00,109.63486031442415
2012-10-16 00:00:00-04:00,109.94994631753542
2012-10-17 00:00:00-04:00,110.10623220713414
2012-10-18 00:00:00-04:00,109.88376152900496
2012-10-19 00:00:00-04:00,109.20727203465428
2012-10-22 00:00:00-04:00,109.23897730926383
2012-10-23 00:00:00-04:00,108.71070978221401
2012-10-24 00:00:00-04:00,108.54357441527637
2012-10-25 00:00:00-04:00,108.61656515136862
2012-10-26 00:00:00-04:00,108.64113677469192
2012-10-31 00:00:00-04:00,109.08716808717287
2012-11-01 00:00:00-04:00,109.28372576129249
2012-11-02 00:00:00-04:00,108.58877568023581
2012-11-05 00:00:00-05:00,108.79562753574173
2012-11-06 00:00:00-05:00,109.23380349681551
2012-11-07 00:00:00-05:00,108.55439496842547
2012-11-08 00:00:00-05:00,108.34072458322224
2012-11-09 00:00:00-05:00,108.30815607916104
2012-11-12 00:00:00-05:00,108.23841522222865
2012-11-13 00:00:00-05:00,108.1058680887597
2012-11-14 00:00:00-05:00,107.36515027718472
2012-11-15 00:00:00-05:00,107.18942236500483
2012-11-16 00:00:00-05:00,107.39933627590503
2012-11-19 00:00:00-05:00,108.51353465899311
2012-11-20 00:00:00-05:00,108.38943491511685
2012-11-21 00:00:00-05:00,108.45246919561949
2012-11-23 00:00:00-05:00,109.1788969694669
2012-11-26 00:00:00-05:00,109.2984914216352
2012-11-27 00:00:00-05:00,109.20118640247637
2012-11-28 00:00:00-05:00,109.29577353448208
2012-11-29 00:00:00-05:00,109.8217955777363
2012-11-30 00:00:00-05:00,109.74992737284879
2012-12-03 00:00:00-05:00,109.94456173367792
2012-12-04 00:00:00-05:00,109.94024972012257
2012-12-05 00:00:00-05:00,109.93596040030546
2012-12-06 00:00:00-05:00,110.13890380942081
2012-12-07 00:00:00-05:00,110.0996324038215
2012-12-10 00:00:00-05:00,110.32233605581635
2012-12-11 00:00:00-05:00,110.44402812591255
2012-12-12 00:00:00-05:00,110.30857455373987
2012-12-13 00:00:00-05:00,109.852503435415
2012-12-14 00:00:00-05:00,109.99931696942555
2012-12-17 00:00:00-05:00,110.22487182830369
2012-12-18 00:00:00-05:00,110.37948096891715
2012-12-19 00:00:00-05:00,110.58015673700667
2012-12-20 00:00:00-05:00,110.69643519308352
2012-12-21 00:00:00-05:00,110.73410237857843
2012-12-24 00:00:00-05:00,110.41543616771249
2012-12-26 00:00:00-05:00,110.49368383601849
2012-12-27 00:00:00-05:00,110.59785781777781
2012-12-28 00:00:00-05:00,110.28116318450417
2012-12-31 00:00:00-05:00,110.93144102192218
2013-01-02 00:00:00-05:00,112.0691372492632
2013-01-03 00:00:00-05:00,111.4948201544984
2013-01-04 00:00:00-05:00,111.65850895095278
2013-01-07 00:00:00-05:00,111.48367970465424
2013-01-08 00:00:00-05:00,111.40744816645282
2013-01-09 00:00:00-05:00,111.60112673686282
2013-01-10 00:00:00-05:00,112.07168873637114
2013-01-11 00:00:00-05:00,112.0576228838434
2013-01-14 00:00:00-05:00,112.2086498215104
2013-01-15 00:00:00-05:00,112.25046357417007
2013-01-16 00:00:00-05:00,112.18519221657354
2013-01-17 00:00:00-05:00,112.51105170481208
2013-01-18 00:00:00-05:00,112.8171514815326
2013-01-22 00:00:00-05:00,113.05436522709878
2013-01-23 00:00:00-05:00,113.01717140696134
2013-01-24 00:00:00-05:00,112.96664496639077
2013-01-25 00:00:00-05:00,112.98730126521342
2013-01-28 00:00:00-05:00,112.77995296344402
2013-01-29 00:00:00-05:00,113.05121414415947
2013-01-30 00:00:00-05:00,112.91206855371219
2013-01-31 00:00:00-05:00,112.82671954564898
2013-02-01 00:00:00-05:00,113.19100883913758
2013-02-04 00:00:00-05:00,112.6817626938418
2013-02-05 00:00:00-05:00,112.89509256104483
2013-02-06 00:00:00-05:00,113.04601436500204
2013-02-07 00:00:00-05:00,112.68256916020128
2013-02-08 00:00:00-05:00,113.11481343649537
2013-02-11 00:00:00-05:00,112.96411363473122
2013-02-12 00:00:00-05:00,113.20326947066854
2013-02-13 00:00:00-05:00,113.19883375924667
2013-02-14 00:00:00-05:00,113.21296967318824
2013-02-15 00:00:00-05:00,112.93816348048242
2013-02-19 00:00:00-05:00,113.20792592864154
2013-02-20 00:00:00-05:00,112.33660479681605
2013-02-21 00:00:00-05:00,111.77186106411861
2013-02-22 00:00:00-05:00,112.35056021228522
2013-02-25 00:00:00-05:00,111.57594553133303
2013-02-26 00:00:00-05:00,111.98441023712276
2013-02-27 00:00:00-05:00,112.41006093782629
2013-02-28 00:00:00-05:00,112.26024025582582
2013-03-01 00:00:00-05:00,112.28197275219439
2013-03-04 00:00:00-05:00,112.29450403381396
